,args,defaults,keywords,method,varargs
0,"['arg', 'com', 'span', 'halflife', 'min_periods', 'freq', 'adjust', 'how', 'ignore_na']","(None, None, None, 0, None, True, None, False)",,ewma,
1,"['arg1', 'arg2', 'com', 'span', 'halflife', 'min_periods', 'freq', 'pairwise', 'how', 'ignore_na', 'adjust']","(None, None, None, None, 0, None, None, None, False, True)",,ewmcorr,
2,"['arg1', 'arg2', 'com', 'span', 'halflife', 'min_periods', 'bias', 'freq', 'pairwise', 'how', 'ignore_na', 'adjust']","(None, None, None, None, 0, False, None, None, None, False, True)",,ewmcov,
3,"['arg', 'com', 'span', 'halflife', 'min_periods', 'bias', 'ignore_na', 'adjust']","(None, None, None, 0, False, False, True)",,ewmstd,
4,"['arg', 'com', 'span', 'halflife', 'min_periods', 'bias', 'freq', 'how', 'ignore_na', 'adjust']","(None, None, None, 0, False, None, None, False, True)",,ewmvar,
5,"['arg', 'com', 'span', 'halflife', 'min_periods', 'bias', 'ignore_na', 'adjust']","(None, None, None, 0, False, False, True)",,ewmvol,
6,"['arg', 'func', 'min_periods', 'freq', 'args', 'kwargs']","(1, None, (), {})",,expanding_apply,
7,"['arg1', 'arg2', 'min_periods', 'freq', 'pairwise']","(None, 1, None, None)",,expanding_corr,
8,"['df1', 'df2', 'min_periods', 'freq']","(None, 1, None)",,expanding_corr_pairwise,
9,"['arg', 'freq']","(None,)",,expanding_count,
10,"['arg1', 'arg2', 'min_periods', 'freq', 'pairwise', 'ddof']","(None, 1, None, None, 1)",,expanding_cov,
11,"['arg', 'min_periods', 'freq']","(1, None)",kwargs,expanding_kurt,
12,"['arg', 'min_periods', 'freq']","(1, None)",kwargs,expanding_max,
13,"['arg', 'min_periods', 'freq']","(1, None)",kwargs,expanding_mean,
14,"['arg', 'min_periods', 'freq']","(1, None)",kwargs,expanding_median,
15,"['arg', 'min_periods', 'freq']","(1, None)",kwargs,expanding_min,
16,"['arg', 'quantile', 'min_periods', 'freq']","(1, None)",,expanding_quantile,
17,"['arg', 'min_periods', 'freq']","(1, None)",kwargs,expanding_skew,
18,"['arg', 'min_periods', 'freq']","(1, None)",kwargs,expanding_std,
19,"['arg', 'min_periods', 'freq']","(1, None)",kwargs,expanding_sum,
20,"['arg', 'min_periods', 'freq']","(1, None)",kwargs,expanding_var,
21,['obj'],,,notnull,
22,"['arg', 'window', 'func', 'min_periods', 'freq', 'center', 'args', 'kwargs']","(None, None, False, (), {})",,rolling_apply,
23,"['arg1', 'arg2', 'window', 'min_periods', 'freq', 'center', 'pairwise', 'how']","(None, None, None, None, False, None, None)",,rolling_corr,
24,"['df1', 'df2', 'window', 'min_periods', 'freq', 'center']","(None, None, None, None, False)",,rolling_corr_pairwise,
25,"['arg', 'window', 'freq', 'center', 'how']","(None, False, None)",,rolling_count,
26,"['arg1', 'arg2', 'window', 'min_periods', 'freq', 'center', 'pairwise', 'how', 'ddof']","(None, None, None, None, False, None, None, 1)",,rolling_cov,
27,"['arg', 'window', 'min_periods', 'freq', 'center', 'how']","(None, None, False, None)",kwargs,rolling_kurt,
28,"['arg', 'window', 'min_periods', 'freq', 'center', 'how']","(None, None, False, 'max')",kwargs,rolling_max,
29,"['arg', 'window', 'min_periods', 'freq', 'center', 'how']","(None, None, False, None)",kwargs,rolling_mean,
30,"['arg', 'window', 'min_periods', 'freq', 'center', 'how']","(None, None, False, 'median')",kwargs,rolling_median,
31,"['arg', 'window', 'min_periods', 'freq', 'center', 'how']","(None, None, False, 'min')",kwargs,rolling_min,
32,"['arg', 'window', 'quantile', 'min_periods', 'freq', 'center']","(None, None, False)",,rolling_quantile,
33,"['arg', 'window', 'min_periods', 'freq', 'center', 'how']","(None, None, False, None)",kwargs,rolling_skew,
34,"['arg', 'window', 'min_periods', 'freq', 'center', 'how']","(None, None, False, None)",kwargs,rolling_std,
35,"['arg', 'window', 'min_periods', 'freq', 'center', 'how']","(None, None, False, None)",kwargs,rolling_sum,
36,"['arg', 'window', 'min_periods', 'freq', 'center', 'how']","(None, None, False, None)",kwargs,rolling_var,
37,"['arg', 'window', 'win_type', 'min_periods', 'freq', 'center', 'mean', 'axis', 'how']","(None, None, None, None, False, True, 0, None)",kwargs,rolling_window,
38,"['wrapped', 'assigned', 'updated']","(('__module__', '__name__', '__doc__'), ('__dict__',))",,wraps,
